timestamp,source_ip,destination_ip,port,protocol,action,user_id,department,resource_accessed,bytes_transferred,session_duration
2024-07-26 08:15:23,192.168.1.45,10.0.1.15,443,HTTP,ALLOW,mthompson,Sales,/inventory/weapons,2048,00:15:32
2024-07-26 08:16:45,192.168.1.67,10.0.1.15,443,HTTP,ALLOW,jrodriguez,Sales,/customer/profiles,1536,00:08:45
2024-07-26 08:18:12,192.168.1.23,10.0.1.15,443,HTTP,ALLOW,schen,IT,/admin/users,4096,00:22:15
2024-07-26 08:19:34,192.168.1.89,10.0.1.15,443,HTTP,ALLOW,dwilson,Operations,/shipping/orders,3072,00:12:30
2024-07-26 08:21:56,203.45.67.89,10.0.1.15,80,HTTP,DENY,unknown,External,/admin,0,00:00:00
2024-07-26 08:23:18,192.168.1.45,10.0.1.15,443,HTTP,ALLOW,mthompson,Sales,/reports/quarterly,8192,00:35:20
2024-07-26 08:25:40,192.168.1.67,10.0.1.15,443,HTTP,ALLOW,jrodriguez,Sales,/inventory/defense,2560,00:18:45
2024-07-26 08:27:02,192.168.1.23,10.0.1.15,22,SSH,ALLOW,schen,IT,/var/log/system,1024,00:45:12
2024-07-26 08:29:24,192.168.1.89,10.0.1.15,443,HTTP,ALLOW,dwilson,Operations,/warehouse/stock,4608,00:28:33
2024-07-26 08:31:46,185.23.45.67,10.0.1.15,443,HTTP,DENY,unknown,External,/customer/data,0,00:00:00
2024-07-26 08:33:08,192.168.1.45,10.0.1.15,443,HTTP,ALLOW,mthompson,Sales,/customer/military,6144,00:42:18
2024-07-26 08:35:30,192.168.1.67,10.0.1.15,443,HTTP,ALLOW,jrodriguez,Sales,/pricing/government,3584,00:25:45
2024-07-26 08:37:52,192.168.1.23,10.0.1.15,443,HTTP,ALLOW,schen,IT,/backup/database,12288,01:15:22
2024-07-26 08:40:14,192.168.1.89,10.0.1.15,443,HTTP,ALLOW,dwilson,Operations,/suppliers/contact,2048,00:14:56
2024-07-26 08:42:36,167.89.12.34,10.0.1.15,80,HTTP,DENY,unknown,External,/login,0,00:00:00
2024-07-26 08:44:58,192.168.1.45,10.0.1.15,443,HTTP,ALLOW,mthompson,Sales,/contracts/classified,16384,00:58:30
2024-07-26 08:47:20,192.168.1.67,10.0.1.15,443,HTTP,ALLOW,jrodriguez,Sales,/leads/law_enforcement,4096,00:32:15
2024-07-26 08:49:42,192.168.1.23,10.0.1.15,443,HTTP,ALLOW,schen,IT,/security/audit,8192,00:48:45
2024-07-26 08:52:04,192.168.1.89,10.0.1.15,443,HTTP,ALLOW,dwilson,Operations,/logistics/tracking,2560,00:19:30
2024-07-26 08:54:26,198.76.54.32,10.0.1.15,443,HTTP,DENY,unknown,External,/employee/records,0,00:00:00
2024-07-26 08:56:48,192.168.1.45,10.0.1.15,443,HTTP,ALLOW,mthompson,Sales,/clearance/verification,5120,00:38:22
2024-07-26 08:59:10,192.168.1.67,10.0.1.15,443,HTTP,ALLOW,jrodriguez,Sales,/training/materials,7168,00:45:18
2024-07-26 09:01:32,192.168.1.23,10.0.1.15,443,HTTP,ALLOW,schen,IT,/network/monitoring,3072,00:28:45
2024-07-26 09:03:54,192.168.1.89,10.0.1.15,443,HTTP,ALLOW,dwilson,Operations,/compliance/reports,9216,00:52:30
2024-07-26 09:06:16,156.78.90.12,10.0.1.15,80,HTTP,DENY,unknown,External,/database,0,00:00:00
2024-07-26 09:08:38,192.168.1.45,10.0.1.15,443,HTTP,ALLOW,mthompson,Sales,/export/licenses,4608,00:35:45
2024-07-26 09:11:00,192.168.1.67,10.0.1.15,443,HTTP,ALLOW,jrodriguez,Sales,/background/checks,6656,00:41:20
2024-07-26 09:13:22,192.168.1.23,10.0.1.15,443,HTTP,ALLOW,schen,IT,/firewall/config,2048,00:22:15
2024-07-26 09:15:44,192.168.1.89,10.0.1.15,443,HTTP,ALLOW,dwilson,Operations,/quality/control,3584,00:26:30
2024-07-26 09:18:06,134.56.78.90,10.0.1.15,443,HTTP,DENY,unknown,External,/admin/panel,0,00:00:00
